id,home_team,away_team,league,country,start_timestamp,start_time,status,venue,round,source
12436560,Brentford,Manchester United,Premier League,England,1746369000,16:30,Ended,,35,api
12436567,Brighton & Hove Albion,Newcastle United,Premier League,England,1746366300,15:45,Ended,,35,api
12436565,West Ham United,Tottenham Hotspur,Premier League,England,1746358200,13:30,Ended,,35,api
12436563,Chelsea,Liverpool,Premier League,England,1746369900,16:45,Ended,,35,api
12436561,Crystal Palace,Nottingham Forest,Premier League,England,1746468900,20:15,Not started,,35,api
12501512,Empoli,Lazio,Serie A,Italy,1746362700,14:45,Ended,,35,api
12501509,Monza,Atalanta,Serie A,Italy,1746369900,16:45,Ended,,35,api
12501516,Roma,Fiorentina,Serie A,Italy,1746370800,17:00,Ended,,35,api
12501520,Bologna,Juventus,Serie A,Italy,1746387000,21:30,Ended,,35,api
12501514,Genoa,Milan,Serie A,Italy,1746468000,20:00,Not started,,35,api
12437532,Real Madrid,Celta Vigo,LaLiga,Spain,1746353700,12:15,Ended,,34,api
12437546,Sevilla,Leganés,LaLiga,Spain,1746360900,14:15,Ended,,34,api
12437648,Espanyol,Real Betis,LaLiga,Spain,1746384300,20:45,Ended,,34,api
12437538,Real Sociedad,Athletic Club,LaLiga,Spain,1746383400,20:30,Ended,,34,api
12437537,Girona FC,Mallorca,LaLiga,Spain,1746475200,22:00,Not started,,34,api
12499517,FC Augsburg,Holstein Kiel,Bundesliga,Germany,1746363600,15:00,Ended,,32,api
12499515,SC Freiburg,Bayer 04 Leverkusen,Bundesliga,Germany,1746378900,19:15,Ended,,32,api
12499519,1. FSV Mainz 05,Eintracht Frankfurt,Bundesliga,Germany,1746386100,21:15,Ended,,32,api
12450271,Nantes,Angers,Ligue 1,France,1746361800,14:30,Ended,,32,api
12450274,Auxerre,Le Havre,Ligue 1,France,1746369000,16:30,Ended,,32,api
12450230,Olympique Lyonnais,RC Lens,Ligue 1,France,1746380700,19:45,Ended,,32,api
12450229,Stade Brestois,Montpellier,Ligue 1,France,1746380700,19:45,Ended,,32,api
12450228,Lille,Olympique de Marseille,Ligue 1,France,1746383400,20:30,Ended,,32,api
12513665,FC Arouca,Casa Pia,Liga Portugal Betclic,Portugal,1746374400,18:00,Ended,,32,api
12513658,Sporting,Gil Vicente,Liga Portugal Betclic,Portugal,1746382500,20:15,Ended,,32,api
12513663,Rio Ave,CF Estrela Amadora,Liga Portugal Betclic,Portugal,1746469800,20:30,Postponed,,32,api
12513671,AVS - Futebol SAD,Boavista,Liga Portugal Betclic,Portugal,1746478800,23:00,Not started,,32,api
12441686,NAC Breda,PEC Zwolle,Eredivisie,Netherlands,1746351900,11:45,Ended,,31,api
12441681,Go Ahead Eagles,AZ Alkmaar,Eredivisie,Netherlands,1746357300,13:15,Ended,,31,api
12441697,Sparta Rotterdam,FC Twente,Eredivisie,Netherlands,1746369900,16:45,Ended,,31,api
13473404,Grêmio,Santos,Brasileirão Betano,Brazil,1746387900,21:45,Ended,,7,api
13473399,Vasco da Gama,Palmeiras,Brasileirão Betano,Brazil,1746393300,23:15,Ended,,7,api
13473403,Cruzeiro,Flamengo,Brasileirão Betano,Brazil,1746401400,01:30,Ended,,7,api
13473402,Red Bull Bragantino,Mirassol,Brasileirão Betano,Brazil,1746480600,23:30,Not started,,7,api
13473407,Juventude,Atlético Mineiro,Brasileirão Betano,Brazil,1746483300,00:15,Not started,,7,api
12530665,Samsunspor,Eyüpspor,Super Lig,Turkey,1746365400,15:30,Ended,,34,api
12530659,Adana Demirspor,Göztepe,Super Lig,Turkey,1746378000,19:00,Ended,,34,api
12530664,Fenerbahçe,Beşiktaş,Super Lig,Turkey,1746378900,19:15,Ended,,34,api
12530668,Kasımpaşa,Trabzonspor,Super Lig,Turkey,1746472500,21:15,1st half,,34,api
13631400,Standard Liège,RC Sporting Charleroi,"First Division, Conference League Playoffs",Belgium,1746366300,15:45,Ended,,7,api
13631424,Sint-Truidense VV,K. Beerschot V.A.,"First Division, Relegation Round",Belgium,1746373500,17:45,Ended,,5,api
13589191,AEK Athens,Panathinaikos,"Super League, Championship Round",Greece,1746385200,21:00,Ended,,5,api
13589190,Olympiacos FC,PAOK,"Super League, Championship Round",Greece,1746382500,20:15,Ended,,5,api
13589433,Athens Kallithea FC,Panetolikos,"Super League, Relegation Round",Greece,1746452700,15:45,Ended,,6,api
13589455,MGS Panserraikos,NPS Volos,"Super League, Relegation Round",Greece,1746452700,15:45,Ended,,6,api
13589456,PAS Lamia 1964,APO Levadiakos,"Super League, Relegation Round",Greece,1746465300,19:15,1st half,,6,api
13765453,Rangers,Celtic,"Premiership, Championship Round",Scotland,1746354600,12:30,Ended,,35,api
12403321,NK Slaven Belupo,NK Osijek,HNL,Croatia,1746370800,17:00,Ended,,33,api
12403326,HNK Rijeka,HNK Gorica,HNL,Croatia,1746379800,19:30,Ended,,33,api
13732223,FK Novi Pazar,FK Partizan,"Super Liga, Championship Round",Serbia,1746363600,15:00,Ended,,4,api
13732220,FK Radnički 1923,FK Mladost Lučani,"Super Liga, Championship Round",Serbia,1746378900,19:15,Ended,,4,api
13732275,FK IMT Beograd,FK Železničar Pančevo,"Superliga, Relegation Round",Serbia,1746369900,16:45,Ended,,4,api
13732279,FK Jedinstvo Ub,FK Spartak Subotica,"Superliga, Relegation Round",Serbia,1746360000,14:00,Ended,,4,api
13299409,New York City FC,FC Cincinnati,MLS,USA,1746380700,19:45,Ended,,,api
13299410,Sporting Kansas City,LA Galaxy,MLS,USA,1746407700,03:15,Ended,,,api
12465954,Levante UD,CD Tenerife,LaLiga 2,Spain,1746369000,16:30,Ended,,38,api
12465952,Racing de Ferrol,Real Zaragoza,LaLiga 2,Spain,1746370800,17:00,Ended,,38,api
